,precision,recall,f1-score,support
PRODUCT_POSITIVE,0.8588709677419355,0.9551569506726457,0.9044585987261147,223.0
PRODUCT_NEGATIVE,0.6176470588235294,0.9130434782608695,0.7368421052631579,23.0
PRODUCT_NEUTRAL,0.028708133971291867,1.0,0.05581395348837209,6.0
PRICE_POSITIVE,0.94,0.94,0.94,50.0
PRICE_NEGATIVE,0.0,0.0,0.0,0.0
PRICE_NEUTRAL,0.11764705882352941,1.0,0.21052631578947367,2.0
PLACE_POSITIVE,0.8723404255319149,0.82,0.845360824742268,100.0
PLACE_NEGATIVE,0.5384615384615384,0.875,0.6666666666666666,8.0
PLACE_NEUTRAL,0.0,0.0,0.0,0.0
PROMOTION_POSITIVE,0.23076923076923078,0.75,0.35294117647058826,4.0
PROMOTION_NEGATIVE,0.0,0.0,0.0,0.0
PROMOTION_NEUTRAL,1.0,0.5,0.6666666666666666,2.0
OUT_OF_TOPIC,0.19444444444444445,0.5384615384615384,0.2857142857142857,26.0
micro avg,0.5245033112582781,0.8918918918918919,0.6605504587155964,444.0
macro avg,0.4152991429667242,0.6378201513380811,0.4357685071944302,444.0
weighted avg,0.794283825271135,0.8918918918918919,0.8253167963171908,444.0
samples avg,0.5587978142076503,0.8877049180327868,0.6588290398126463,444.0
