,O,B-OUT_OF_TOPIC,B-PLACE_NEGATIVE,B-PLACE_NEUTRAL,B-PLACE_POSITIVE,B-PRICE_NEGATIVE,B-PRICE_NEUTRAL,B-PRICE_POSITIVE,B-PRODUCT_NEGATIVE,B-PRODUCT_NEUTRAL,B-PRODUCT_POSITIVE,B-PROMOTION_NEGATIVE,B-PROMOTION_NEUTRAL,B-PROMOTION_POSITIVE,I-OUT_OF_TOPIC,I-PLACE_NEGATIVE,I-PLACE_NEUTRAL,I-PLACE_POSITIVE,I-PRICE_NEGATIVE,I-PRICE_NEUTRAL,I-PRICE_POSITIVE,I-PRODUCT_NEGATIVE,I-PRODUCT_NEUTRAL,I-PRODUCT_POSITIVE,I-PROMOTION_NEGATIVE,I-PROMOTION_NEUTRAL,I-PROMOTION_POSITIVE
O,907,1,1,0,13,0,0,2,6,0,52,0,0,3,15,4,0,37,0,0,7,15,2,127,0,0,5
B-OUT_OF_TOPIC,5,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PLACE_NEGATIVE,6,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PLACE_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PLACE_POSITIVE,30,4,0,0,96,0,0,2,0,0,7,0,0,0,1,0,0,10,0,0,0,0,0,2,0,0,0
B-PRICE_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PRICE_NEUTRAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PRICE_POSITIVE,3,0,0,0,1,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
B-PRODUCT_NEGATIVE,12,0,1,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
B-PRODUCT_NEUTRAL,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
B-PRODUCT_POSITIVE,32,1,0,0,4,0,0,0,0,1,252,0,0,0,1,0,0,2,0,0,1,0,0,57,0,0,0
B-PROMOTION_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PROMOTION_NEUTRAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B-PROMOTION_POSITIVE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
I-OUT_OF_TOPIC,23,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,5,0,0,0
I-PLACE_NEGATIVE,47,0,4,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0
I-PLACE_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PLACE_POSITIVE,122,0,0,0,6,0,0,0,0,0,6,0,0,0,28,0,0,165,0,0,2,0,0,20,0,0,0
I-PRICE_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PRICE_NEUTRAL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
I-PRICE_POSITIVE,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,1,0,0,0
I-PRODUCT_NEGATIVE,36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,36,0,2,0,0,0
I-PRODUCT_NEUTRAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,8,0,0,0
I-PRODUCT_POSITIVE,193,0,0,0,6,0,0,1,0,0,38,0,0,0,6,0,0,21,0,0,0,1,3,464,0,0,0
I-PROMOTION_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PROMOTION_NEUTRAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,6
I-PROMOTION_POSITIVE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3
